service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
JUNE11-D01CAR-3_Sunday-90,0,0,0,0,0,0,1,20110626,20111204
JUNE11-D01CAR-1_Weekday-90,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D01CAR-1_Weekday-90-1111100,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D01CAR-2_Saturday-90,0,0,0,0,0,1,0,20110702,20111210
JUNE11-D02CAR-3_Sunday-90,0,0,0,0,0,0,1,20110626,20111204
JUNE11-D02CAR-1_Weekday-90,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D02CAR-1_Weekday-90-1111100,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D02CAR-2_Saturday-90,0,0,0,0,0,1,0,20110702,20111210
JUNE11-D03CAR-3_Sunday-90,0,0,0,0,0,0,1,20110626,20111204
JUNE11-D03CAR-1_Weekday-90,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D03CAR-1_Weekday-90-1111000,1,1,1,1,0,0,0,20110627,20111209
JUNE11-D03CAR-1_Weekday-90-1111100,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D03CAR-1_Weekday-90-1011100,1,0,1,1,1,0,0,20110627,20111209
JUNE11-D03CAR-1_Weekday-90-0100000,0,1,0,0,0,0,0,20110627,20111209
JUNE11-D03CAR-2_Saturday-90,0,0,0,0,0,1,0,20110702,20111210
JUNE11-D05CAR-3_Sunday-90,0,0,0,0,0,0,1,20110626,20111204
JUNE11-D05CAR-1_Weekday-90,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D05CAR-1_Weekday-90-1111100,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D05CAR-1_Weekday-90-1011100,1,0,1,1,1,0,0,20110627,20111209
JUNE11-D05CAR-1_Weekday-90-0100000,0,1,0,0,0,0,0,20110627,20111209
JUNE11-D05CAR-2_Saturday-90,0,0,0,0,0,1,0,20110702,20111210
JUNE11-D06CAR-1_Weekday-90,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D06CAR-1_Weekday-90-0101000,0,1,0,1,0,0,0,20110627,20111209
JUNE11-D07CAR-3_Sunday-90,0,0,0,0,0,0,1,20110626,20111204
JUNE11-D07CAR-1_Weekday-90,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D07CAR-1_Weekday-90-0101000,0,1,0,1,0,0,0,20110627,20111209
JUNE11-D07CAR-1_Weekday-90-1010100,1,0,1,0,1,0,0,20110627,20111209
JUNE11-D07CAR-1_Weekday-90-1011100,1,0,1,1,1,0,0,20110627,20111209
JUNE11-D07CAR-1_Weekday-90-0100000,0,1,0,0,0,0,0,20110627,20111209
JUNE11-D07CAR-1_Weekday-90-1111100,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D07CAR-2_Saturday-90,0,0,0,0,0,1,0,20110702,20111210
JUNE11-D08CAR-3_Sunday-90,0,0,0,0,0,0,1,20110626,20111204
JUNE11-D08CAR-1_Weekday-90,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D08CAR-1_Weekday-90-1111100,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D08CAR-1_Weekday-90-0100000,0,1,0,0,0,0,0,20110627,20111209
JUNE11-D08CAR-1_Weekday-90-1011100,1,0,1,1,1,0,0,20110627,20111209
JUNE11-D08CAR-1_Weekday-90-0000100,0,0,0,0,1,0,0,20110627,20111209
JUNE11-D08CAR-1_Weekday-90-1111000,1,1,1,1,0,0,0,20110627,20111209
JUNE11-D08CAR-2_Saturday-90,0,0,0,0,0,1,0,20110702,20111210
JUNE11-D09CAR-3_Sunday-90,0,0,0,0,0,0,1,20110626,20111204
JUNE11-D09CAR-1_Weekday-90,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D09CAR-1_Weekday-90-0111100,0,1,1,1,1,0,0,20110627,20111209
JUNE11-D09CAR-1_Weekday-90-1000000,1,0,0,0,0,0,0,20110627,20111209
JUNE11-D09CAR-1_Weekday-90-1111100,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D09CAR-2_Saturday-90,0,0,0,0,0,1,0,20110702,20111210
JUNE11-D10CAR-3_Sunday-90,0,0,0,0,0,0,1,20110626,20111204
JUNE11-D10CAR-1_Weekday-90,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D10CAR-1_Weekday-90-0100000,0,1,0,0,0,0,0,20110627,20111209
JUNE11-D10CAR-1_Weekday-90-1111100,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D10CAR-2_Saturday-90,0,0,0,0,0,1,0,20110702,20111210
JUNE11-D15CAR-3_Sunday-90,0,0,0,0,0,0,1,20110626,20111204
JUNE11-D15CAR-1_Weekday-90,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D15CAR-1_Weekday-90-0100000,0,1,0,0,0,0,0,20110627,20111209
JUNE11-D15CAR-1_Weekday-90-1111100,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D15CAR-1_Weekday-90-1011100,1,0,1,1,1,0,0,20110627,20111209
JUNE11-D15CAR-2_Saturday-90,0,0,0,0,0,1,0,20110702,20111210
JUNE11-D18CAR-3_Sunday-90,0,0,0,0,0,0,1,20110626,20111204
JUNE11-D18CAR-1_Weekday-90,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D18CAR-1_Weekday-90-1111100,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D18CAR-1_Weekday-90-0100000,0,1,0,0,0,0,0,20110627,20111209
JUNE11-D18CAR-1_Weekday-90-1011100,1,0,1,1,1,0,0,20110627,20111209
JUNE11-D18CAR-2_Saturday-90,0,0,0,0,0,1,0,20110702,20111210
JUNE11-D95CEA-3_Sunday-90,0,0,0,0,0,0,1,20110626,20111204
JUNE11-D95CEA-1_Weekday-90,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D95CEA-2_Saturday-90,0,0,0,0,0,1,0,20110702,20111210
JUNE11-D97CAR-3_Sunday-90,0,0,0,0,0,0,1,20110626,20111204
JUNE11-D97CAR-1_Weekday-90,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D97CAR-2_Saturday-90,0,0,0,0,0,1,0,20110702,20111210
JUNE11-D98-3_Sunday-90,0,0,0,0,0,0,1,20110626,20111204
JUNE11-D98-1_Weekday-90,1,1,1,1,1,0,0,20110627,20111209
JUNE11-D98-2_Saturday-90,0,0,0,0,0,1,0,20110702,20111210
JUN11-801-3_Sunday,0,0,0,0,0,0,1,20110626,20111204
JUN11-801-1_Weekday,1,1,1,1,1,0,0,20110627,20111209
JUN11-801-2_Saturday,0,0,0,0,0,1,0,20110702,20111210
JUN11-802-3_Sunday,0,0,0,0,0,0,1,20110626,20111204
JUN11-802-1_Weekday,1,1,1,1,1,0,0,20110627,20111209
JUN11-802-2_Saturday,0,0,0,0,0,1,0,20110702,20111210
JUN11-803-3_Sunday,0,0,0,0,0,0,1,20110626,20111204
JUN11-803-1_Weekday,1,1,1,1,1,0,0,20110627,20111209
JUN11-803-2_Saturday,0,0,0,0,0,1,0,20110702,20111210
JUN11-804-3_Sunday,0,0,0,0,0,0,1,20110626,20111204
JUN11-804-1_Weekday,1,1,1,1,1,0,0,20110627,20111209
JUN11-804-2_Saturday,0,0,0,0,0,1,0,20110702,20111210
JUN11-805-3_Sunday,0,0,0,0,0,0,1,20110626,20111204
JUN11-805-1_Weekday,1,1,1,1,1,0,0,20110627,20111209
JUN11-805-2_Saturday,0,0,0,0,0,1,0,20110702,20111210
