service_id,date,exception_type
JUNE15-D01CAR-3_Sunday-90,20150704,1
JUNE15-D01CAR-3_Sunday-90,20150907,1
JUNE15-D01CAR-3_Sunday-90,20151126,1
JUNE15-D01CAR-1_Weekday-90,20150907,2
JUNE15-D01CAR-1_Weekday-90-1111100,20150907,2
JUNE15-D01CAR-1_Weekday-90,20151126,2
JUNE15-D01CAR-1_Weekday-90-1111100,20151126,2
JUNE15-D02CAR-3_Sunday-90,20150704,1
JUNE15-D02CAR-3_Sunday-90,20150907,1
JUNE15-D02CAR-3_Sunday-90,20151126,1
JUNE15-D02CAR-1_Weekday-90,20150907,2
JUNE15-D02CAR-1_Weekday-90-1111100,20150907,2
JUNE15-D02CAR-1_Weekday-90,20151126,2
JUNE15-D02CAR-1_Weekday-90-1111100,20151126,2
JUNE15-D03CAR-3_Sunday-90,20150704,1
JUNE15-D03CAR-3_Sunday-90,20150907,1
JUNE15-D03CAR-3_Sunday-90,20151126,1
JUNE15-D03CAR-1_Weekday-90,20150907,2
JUNE15-D03CAR-1_Weekday-90-0100000,20150907,2
JUNE15-D03CAR-1_Weekday-90-1011100,20150907,2
JUNE15-D03CAR-1_Weekday-90-1111100,20150907,2
JUNE15-D03CAR-1_Weekday-90,20151126,2
JUNE15-D03CAR-1_Weekday-90-0100000,20151126,2
JUNE15-D03CAR-1_Weekday-90-1011100,20151126,2
JUNE15-D03CAR-1_Weekday-90-1111100,20151126,2
JUNE15-D05CAR-3_Sunday-90,20150704,1
JUNE15-D05CAR-3_Sunday-90,20150907,1
JUNE15-D05CAR-3_Sunday-90,20151126,1
JUNE15-D05CAR-1_Weekday-90,20150907,2
JUNE15-D05CAR-1_Weekday-90-1111100,20150907,2
JUNE15-D05CAR-1_Weekday-90,20151126,2
JUNE15-D05CAR-1_Weekday-90-1111100,20151126,2
JUNE15-D06CAR-1_Weekday-90,20150907,2
JUNE15-D06CAR-1_Weekday-90-0101000,20150907,2
JUNE15-D06CAR-1_Weekday-90-1010100,20150907,2
JUNE15-D06CAR-1_Weekday-90-1111100,20150907,2
JUNE15-D06CAR-1_Weekday-90,20151126,2
JUNE15-D06CAR-1_Weekday-90-0101000,20151126,2
JUNE15-D06CAR-1_Weekday-90-1010100,20151126,2
JUNE15-D06CAR-1_Weekday-90-1111100,20151126,2
JUNE15-D07CAR-3_Sunday-90,20150704,1
JUNE15-D07CAR-3_Sunday-90,20150907,1
JUNE15-D07CAR-3_Sunday-90,20151126,1
JUNE15-D07CAR-1_Weekday-90,20150907,2
JUNE15-D07CAR-1_Weekday-90-0101000,20150907,2
JUNE15-D07CAR-1_Weekday-90-1111100,20150907,2
JUNE15-D07CAR-1_Weekday-90-1010100,20150907,2
JUNE15-D07CAR-1_Weekday-90,20151126,2
JUNE15-D07CAR-1_Weekday-90-0101000,20151126,2
JUNE15-D07CAR-1_Weekday-90-1111100,20151126,2
JUNE15-D07CAR-1_Weekday-90-1010100,20151126,2
JUNE15-D08CAR-3_Sunday-90,20150704,1
JUNE15-D08CAR-3_Sunday-90,20150907,1
JUNE15-D08CAR-3_Sunday-90,20151126,1
JUNE15-D08CAR-1_Weekday-90,20150907,2
JUNE15-D08CAR-1_Weekday-90-1111100,20150907,2
JUNE15-D08CAR-1_Weekday-90-1011100,20150907,2
JUNE15-D08CAR-1_Weekday-90-0100000,20150907,2
JUNE15-D08CAR-1_Weekday-90-0000100,20150907,2
JUNE15-D08CAR-1_Weekday-90-1111000,20150907,2
JUNE15-D08CAR-1_Weekday-90,20151126,2
JUNE15-D08CAR-1_Weekday-90-1111100,20151126,2
JUNE15-D08CAR-1_Weekday-90-1011100,20151126,2
JUNE15-D08CAR-1_Weekday-90-0100000,20151126,2
JUNE15-D08CAR-1_Weekday-90-0000100,20151126,2
JUNE15-D08CAR-1_Weekday-90-1111000,20151126,2
JUNE15-D09CAR-3_Sunday-90,20150704,1
JUNE15-D09CAR-3_Sunday-90,20150907,1
JUNE15-D09CAR-3_Sunday-90,20151126,1
JUNE15-D09CAR-1_Weekday-90,20150907,2
JUNE15-D09CAR-1_Weekday-90-0111100,20150907,2
JUNE15-D09CAR-1_Weekday-90-1000000,20150907,2
JUNE15-D09CAR-1_Weekday-90-1111100,20150907,2
JUNE15-D09CAR-1_Weekday-90-0000100,20150907,2
JUNE15-D09CAR-1_Weekday-90,20151126,2
JUNE15-D09CAR-1_Weekday-90-0111100,20151126,2
JUNE15-D09CAR-1_Weekday-90-1000000,20151126,2
