route_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
2-13084,2,Metro Local Line,,3,,,
4-13084,4,Metro Local Line,,3,,,
10-13084,10/48,Metro Local Line,,3,,,
14-13084,14/37,Metro Local Line,,3,,,
16-13084,16/316,Metro Local Line,,3,,,
18-13084,18,Metro Local Line,,3,,,
20-13084,20,Metro Local Line,,3,,,
28-13084,28,Metro Local Line,,3,,,
30-13084,30/330,Metro Local Line,,3,,,
33-13084,33,Metro Local Line,,3,,,
35-13084,35,Metro Local Line,,3,,,
40-13084,40,Metro Local Line,,3,,,
45-13084,45,Metro Local Line,,3,,,
51-13084,51/52/352,Metro Local Line,,3,,,
53-13084,53,Metro Local Line,,3,,,
55-13084,55/202/355,Metro Local Line,,3,,,
60-13084,60,Metro Local Line,,3,,,
62-13084,62,Metro Local Line,,3,,,
66-13084,66,Metro Local Line,,3,,,
68-13084,68,Metro Local Line,,3,,,
70-13084,70,Metro Local Line,,3,,,
71-13084,71,Metro Local Line,,3,,,
76-13084,76,Metro Local Line,,3,,,
78-13084,78/79/378,Metro Local Line,,3,,,
81-13084,81,Metro Local Line,,3,,,
83-13084,83,Metro Local Line,,3,,,
90-13084,90/91,Metro Local Line,,3,,,
92-13084,92,Metro Local Line,,3,,,
94-13084,94,Metro Local Line,,3,,,
96-13084,96,Metro Local Line,,3,,,
102-13084,102,Metro Local Line,,3,,,
105-13084,105,Metro Local Line,,3,,,
108-13084,108/358,Metro Local Line,,3,,,
110-13084,110,Metro Local Line,,3,,,
111-13084,111/311,Metro Local Line,,3,,,
115-13084,115,Metro Local Line,,3,,,
117-13084,117,Metro Local Line,,3,,,
120-13084,120,Metro Local Line,,3,,,
125-13084,125,Metro Local Line,,3,,,
126-13084,126,Metro Local Line,,3,,,
127-13084,127,Metro Local Line,,3,,,
128-13084,128,Metro Local Line,,3,,,
130-13084,130,Metro Local Line,,3,,,
150-13084,150/240,Metro Local Line,,3,,,
152-13084,152/353,Metro Local Line,,3,,,
154-13084,154,Metro Local Line,,3,,,
155-13084,155,Metro Local Line,,3,,,
156-13084,156/656,Metro Local Line,,3,,,
158-13084,158,Metro Local Line,,3,,,
161-13084,161,Metro Local Line,,3,,,
163-13084,163/162,Metro Local Line,,3,,,
164-13084,164,Metro Local Line,,3,,,
165-13084,165,Metro Local Line,,3,,,
166-13084,166/364,Metro Local Line,,3,,,
167-13084,167,Metro Local Line,,3,,,
169-13084,169,Metro Local Line,,3,,,
175-13084,175,Metro Local Line,,3,,,
176-13084,176,Metro Local Line,,3,,,
177-13084,177,Metro Local Line,,3,,,
180-13084,180/181,Metro Local Line,,3,,,
183-13084,183,Metro Local Line,,3,,,
190-13084,190/194,Metro Local Line,,3,,,
200-13084,200,Metro Local Line,,3,,,
201-13084,201,Metro Local Line,,3,,,
202-13084,202,Metro Local Line,,3,,,
204-13084,204,Metro Local Line,,3,,,
205-13084,205,Metro Local Line,,3,,,
206-13084,206,Metro Local Line,,3,,,
207-13084,207,Metro Local Line,,3,,,
209-13084,209,Metro Local Line,,3,,,
210-13084,210,Metro Local Line,,3,,,
211-13084,211/215,Metro Local Line,,3,,,
212-13084,212/312,Metro Local Line,,3,,,
217-13084,217,Metro Local Line,,3,,,
218-13084,218,Metro Local Line,,3,,,
220-13084,220,Metro Local Line,,3,,,
222-13084,222,Metro Local Line,,3,,,
224-13084,224,Metro Local Line,,3,,,
230-13084,230,Metro Local Line,,3,,,
232-13084,232,Metro Local Line,,3,,,
233-13084,233,Metro Local Line,,3,,,
234-13084,234,Metro Local Line,,3,,,
236-13084,236/237,Metro Local Line,,3,,,
