route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
158-13084,JUNE15-D08CAR-1_Weekday-90,37908787,,0,1580100,1580046_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908788,,0,1580801,1580046_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908789,,0,1580601,1580046_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908790,,0,1580400,1580046_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908791,,0,1580200,1580046_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908792,,0,1580200,1580046_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908793,,0,1580902,1580046_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908794,,0,2360300,1580046_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908795,,0,1660100,1580046_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908796,,1,1580601,1580048_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908797,,1,1580100,1580047_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908798,,1,1580801,1580047_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908799,,1,1580200,1580047_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908800,,1,1580300,1580047_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908801,,1,1580100,1580047_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908802,,1,1580802,1580047_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908803,,1,1580602,1580047_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908804,,1,2360300,1580047_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908805,,1,1660100,1580047_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908806,,1,1580200,1580047_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908807,,0,1580400,1580046_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908808,,0,1580200,1580046_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908809,,1,1580400,1580047_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908810,,1,1580200,1580041_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908811,,0,1580701,1580046_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908812,,0,1580100,1580046_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908813,,0,1580100,1580046_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908814,,0,1580300,1580046_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908815,,0,1580300,1580046_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908816,,0,1580300,1580038_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908817,,1,1580701,1580047_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908818,,1,1580501,1580047_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908819,,1,1580400,1580047_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908820,,1,2360300,1580047_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908821,,1,1580300,1580047_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908822,,1,1580300,1580047_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908823,,0,1580502,1580046_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908824,,0,1580702,1580046_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908825,,1,1580902,1580047_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908826,,1,1580100,1580047_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908827,,1,1580502,1580047_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908828,,1,1580901,1580042_JUN15
158-13084,JUNE15-D08CAR-1_Weekday-90,37908829,,0,2451502,1580038_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908855,,0,1580300,1580046_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908856,,0,1580100,1580046_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908857,,0,1580200,1580046_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908858,,0,1580300,1580046_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908859,,0,1580100,1580046_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908860,,0,1580200,1580046_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908861,,0,1580300,1580046_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908862,,0,1580100,1580046_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908863,,0,1580200,1580046_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908864,,0,1580300,1580046_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908865,,0,1580100,1580046_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908866,,0,1580200,1580046_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908867,,1,1580200,1580048_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908868,,1,1580300,1580048_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908869,,1,1580100,1580047_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908870,,1,1580200,1580047_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908871,,1,1580300,1580047_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908872,,1,1580100,1580047_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908873,,1,1580200,1580047_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908874,,1,1580300,1580047_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908875,,1,1580100,1580047_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908876,,1,1580200,1580047_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908877,,1,1580300,1580047_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908878,,1,1580100,1580047_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908879,,1,1580200,1580047_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908880,,1,1580300,1580047_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908881,,1,1580100,1580047_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908882,,0,1580200,1580046_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908883,,0,1580100,1580046_JUN15
158-13084,JUNE15-D08CAR-2_Saturday-90,37908884,,1,1580100,1580041_JUN15
158-13084,JUNE15-D08CAR-3_Sunday-90,37908891,,1,1580200,1580048_JUN15
158-13084,JUNE15-D08CAR-3_Sunday-90,37908892,,1,1580300,1580048_JUN15
158-13084,JUNE15-D08CAR-3_Sunday-90,37908893,,1,1580100,1580048_JUN15
158-13084,JUNE15-D08CAR-3_Sunday-90,37908894,,0,1580100,1580046_JUN15
158-13084,JUNE15-D08CAR-3_Sunday-90,37908895,,0,1580300,1580046_JUN15
158-13084,JUNE15-D08CAR-3_Sunday-90,37908896,,0,1580100,1580046_JUN15
158-13084,JUNE15-D08CAR-3_Sunday-90,37908897,,0,1580100,1580046_JUN15
158-13084,JUNE15-D08CAR-3_Sunday-90,37908898,,1,1580300,1580047_JUN15
158-13084,JUNE15-D08CAR-3_Sunday-90,37908899,,0,1580200,1580046_JUN15
